texto,rotulo
"produto ofereçe o que prometeu no anúncio, entrega muito rapida bem antes do prazo",3
o produto é excelência para doméstico quando quer usar você monta e quando não usa você desmonta,5
"muito bom, com bastante memória, câmera excelente e outros mais recomendo.",4
achei o produto muito inferior pois as bonecas tem uma qualidade bem melhor porém esse kit deixou muito a desejar as massinhas são tão pequenas que teria quase que comprar umas 3 de cada pra fazer alguma coisa masssss ok,2
"resistente, bonita e super espaçosa. serviu muito bem para o que foi comprada!!!",5
loja ruim cancelou a compra sem solicitaçao de cancelamento e comunicou o cliente,1
"o ropo cumpre o que promete, deve se dar muita atenção ao uso da bateria para prolongar a vida útil da mesma.",5
"excelente produto, esquenta, dá o formato desejado, adorei e recomendo",5
"muito básico, gostei mais ou menos. a aparência da propaganda não retrata o produto.",3
"um bom produto,gela na medida certa,fácil entalação.",4
"excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excele nte, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente, excelente,",5
"foi bom eu achar esse anúncios, pois não sabia que dava pra fazer falsas avaliações sobre os produtos, isso faz com que a americanas perca a confiabilidade ao meu ver. onde esse copo está barato?! péssimo!!!",1
terceiro motorola que tenho e só posso dizer que amoooo,5
"lixo , paguei e não recebi .....fora de prazo , ninguém resolve nada .",1
"ótima, amei mais uma vez americanas arrasando na entrega. produto de otima qualidade recomendo muito.",4
"excelente custo benéfico, as baquetas possuem um bom acabamento e chegaram no prazo.",4
"o aparelho é potente, e sua diversidade de ferramentas torna o produto muito completo.",5
"uma maquina recomendado para trabalhos leves. ajuda bastante no dia-dia e, é ótimo para iniciantes, recomendo.",3
"recomendo, principalmente por ser um aparelho com 128 gb espaçoso por dentro , porém em pequeno volume pra usar no bolso ... por um preço bem acessível !!!! site seguro recomendo lojas americanas.",5
"lindo, confortável. comprei tamanho m, equivale ao número 42. não tem regulador atrás, só nas alças. estica pouco, quem tem as costas largas deve comprar u tamanho maior. amei.",5
"gostei do produto e chegou antes do previsto, porém, veio faltando uma pecinha para montar a roda",5
a americanas e muito irresponsável pois a entrega ainda não chegou,1
"o produto atendeu minhas expectativas, um bom limpador para piso de madeira.",4
"estou muito satisfeita com o meu j7 pro, é um smartphone incrível em todos os quesitos. tela super amoled de 5.5, câmeras excelentes, memória interna de 64 gb, boa fluidez de processamento, bateria com ótima durabilidade... super indico esse aparelho!",5
"comprei três brancos, os três chegaram com defeito, um arranhado, um quebrado e o outro amassado na parte do encaixe, enviei a solicitação para troca e até agora não obtive resposta quanto a troca, estou totalmente insatisfeita.",1
celular muito bom perfeito valeu a pena é a entrega muito rapida,5
produto chegou no prazo correto tudo original e de excelente qualidade,5
"jogo muito divertido, chegou tudo certinho e chegou antes do prazo de entrega, gostei muito.",5
perfeito com qualidade e conforto e entrega excelente.,5
"o tamanho dele é pequeno, mas é muito bom.seu desempenho é perfeito. aconselho a comprar.",5
"- produto prático e ocupa pouco espaço, além de poder ser usado com outros produtos da mesma marca ampliando a sua capacidade.",4
o produto atendeu as expectativas. até o momento não tive nenhum problema.,4
"aparelho importado, garantia somente a através deste processo. vende gato por lebre!!!",1
"vem conforme o prometido, comprei para 2 sobrinhos, eles adoraram e por ser o mesmo produto , as 4 capas coloridas os ajudam a não se confundirem. e o prazo de entrega também é cumprido.",5
melhor custo benefício. cumpre o q promete. cuidado com o armazenador da água.,5
"gostei muito do celular pq é para pessoa que tem problema de visão,os números tem um tamanho bom! muito bem recomendado aos idosos obrigada",5
"um baita descaso, estava programado para chegar no dia 22, pois comprei justamente para presentear no natal, a empresa demorou vários dias para postar até imagino que vão dizer que a culpa é dos correios, não compro mais da americanas, não recomendo nem pra inimigo! estou muito insatisfeito!",1
só o microfone que dá muito ruído...mas o aparelho já tenho igual ...da mesma marca faz mais de três anos sem nenhum defeito e a bateria ainda dura umas três horas...,5
muito bom aparelho e gostei também do tempo para entrega que foi bem rápido.!!,4
o prazo vencerá dia 10/01 e nota fiscal sequer foi emitida. estou muito preocupado se vai chegar no prazo.,1
"fiquei surpreso com a entrega, foi muito rápido! também estou satisfeito com o j1 é um celular simples mas cumpre o que promete, é barato e funcional. foi minha primeira compra no site mas pretendo comprar novamente, recomendo.",5
"quando vi essa promoção, vim correndo pois não queria perder a oportunidade.",5
"não recebi meu produto, como posso avaliar? quando recebo? ainda aguardando",1
"o produto é até bom, mas a foi pessíma no atendimento da entrega, demorou muito. entaõ a minha nota é 1, não recomendo o site da lojas americanas, pois não tive suporte da parte dele",2
"muito fácil de instalar, muito fácil de navegar! apaixonei!",5
"o produto veio faltando o acessório da boneca, entrei em contato com as americanas para solicitar a troca e só consegui um retorno após postar no site reclame aqui. não recomendo este parceiro das lojas americanas.",1
"o aparelho é muito bom! todos os meus amigos ficaram impressionados com a elegância do aparelho, câmera e rapidez. além disso ele é super leve! a única coisa que achei ruim é que a americanas.com não atende as pessoas direito um verdadeiro descaso na depois que você paga. paguei pelo frete de 4 dias e me entregaram com mais de 8, ou seja, me roubaram e não consegui receber de volta...",5
teclado mediano. pode ser útil como segundo teclado para sons eletrônicos. não é legal para pianos e órgãos. piano acústico bem fraco.,3
"excelente produto, meu filho está aproveitando muito.",5
"ainda não testei o produto pois aguardo a hd chegar. montei uma outra igual uns dias atrás e funciona muito bem, a unica coisa que acho ruim é o cabo que utiliza para comunicação que é usb macho - usb macho, fora de padrão que seria miniusb-usbmacho e o padrão novo de usb 3.0. fora esse detalhe, vai de boa.",3
bom aparelho de ar condicionado. bastante silencioso e refrigera muito bem.,3
"muito bom o produto, quem está em dúvida de um notebook esse é um produto médio entre bom e barato.",4
produto de boa qualidade e atende as necessidades.,4
"gostei do pedido e prazo de entrega. celular muito bom para o preço pago, ótima promoção",5
perfeito para lugares pequenos. cumpriu o que apresenta e não é barulhento. fácil manuseio. precisa manter as partes usáveis limpas para um bom funcionamento. recomendo,4
